[train] device=cpu
[train] model params: 35.59M (preset=small)
[train] starting; ctx=512, batch=2, steps=12000, mode=chat
[data:chat] using SlimOrca (Open-Orca/SlimOrca)
step   260 | loss 5.0215 | lm 6.8616 | ppl 954.9 | lr 3.00e-04 | 367 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.23 Glu=0.47 GABA=0.56]
step   270 | loss 4.9739 | lm 6.7960 | ppl 894.3 | lr 3.00e-04 | 558 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.23 Glu=0.47 GABA=0.55]
step   280 | loss 4.9139 | lm 6.7141 | ppl 823.9 | lr 3.00e-04 | 484 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.23 Glu=0.47 GABA=0.57]
step   290 | loss 5.0716 | lm 6.9292 | ppl 1021.7 | lr 3.00e-04 | 432 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.59]
step   300 | loss 4.9132 | lm 6.7121 | ppl 822.3 | lr 3.00e-04 | 501 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.48 GABA=0.58]
step   310 | loss 5.1421 | lm 7.0252 | ppl 1124.6 | lr 3.00e-04 | 540 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.23 Glu=0.47 GABA=0.58]
step   320 | loss 5.0581 | lm 6.9109 | ppl 1003.1 | lr 3.00e-04 | 535 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.23 Glu=0.47 GABA=0.57]
step   330 | loss 4.8786 | lm 6.6649 | ppl 784.4 | lr 3.00e-04 | 505 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.23 Glu=0.47 GABA=0.56]
step   340 | loss 4.8598 | lm 6.6390 | ppl 764.3 | lr 3.00e-04 | 530 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.58]
step   350 | loss 4.6588 | lm 6.3632 | ppl 580.1 | lr 3.00e-04 | 495 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.57]
step   360 | loss 4.7494 | lm 6.4864 | ppl 656.1 | lr 3.00e-04 | 501 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.48 GABA=0.57]
step   370 | loss 4.6966 | lm 6.4147 | ppl 610.8 | lr 3.00e-04 | 519 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.56]
step   380 | loss 5.0380 | lm 6.8811 | ppl 973.7 | lr 3.00e-04 | 493 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.58]
step   390 | loss 4.8276 | lm 6.5936 | ppl 730.4 | lr 3.00e-04 | 515 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.57]
step   400 | loss 4.7639 | lm 6.5058 | ppl 669.0 | lr 3.00e-04 | 486 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.56]
step   410 | loss 5.0186 | lm 6.8547 | ppl 948.3 | lr 3.00e-04 | 503 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.56]
step   420 | loss 4.8813 | lm 6.6675 | ppl 786.4 | lr 3.00e-04 | 507 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.24 Glu=0.47 GABA=0.55]
step   430 | loss 4.5433 | lm 6.2027 | ppl 494.1 | lr 3.00e-04 | 506 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.25 Glu=0.48 GABA=0.54]
step   440 | loss 4.6900 | lm 6.4050 | ppl 604.9 | lr 3.00e-04 | 505 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.25 Glu=0.48 GABA=0.54]
step   450 | loss 4.8470 | lm 6.6011 | ppl 735.9 | lr 3.00e-04 | 474 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.25 Glu=0.48 GABA=0.58]
step   460 | loss 4.5314 | lm 6.1866 | ppl 486.2 | lr 3.00e-04 | 515 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.25 Glu=0.48 GABA=0.58]
step   470 | loss 4.4758 | lm 6.1119 | ppl 451.2 | lr 3.00e-04 | 491 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.25 Glu=0.48 GABA=0.57]
step   480 | loss 4.5364 | lm 6.1927 | ppl 489.1 | lr 3.00e-04 | 462 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.25 Glu=0.48 GABA=0.56]
step   490 | loss 4.8651 | lm 6.6428 | ppl 767.2 | lr 3.00e-04 | 457 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.25 Glu=0.48 GABA=0.56]
step   500 | loss 4.3021 | lm 5.8729 | ppl 355.3 | lr 3.00e-04 | 387 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.26 Glu=0.49 GABA=0.60]
[train] saved checkpoints\neuroslm_small_chat_500.pt | genome=gb89cbbb4 gen=0 | trophic={'n_projections': 13, 'n_active': 1, 'n_pruned': 12, 'trophic_mean': 0.012199859134852886, 'trophic_max': 0.1585981696844101, 'trophic_min': 0.0, 'saturated': 0}
step   510 | loss 4.6464 | lm 6.3433 | ppl 568.7 | lr 2.99e-04 | 443 tok/s | mesoLG 0.58 | NT[DA=0.80 NE=0.70 5HT=0.95 ACh=0.75 eCB=0.26 Glu=0.49 GABA=0.59]
